"","province","date","confirmed","deaths","recovered","ID","confrate","dthrate","rcvrdrate","Lat","Long"
"1","Kabul",2020-05-05,824,16,131,34,45,0,4,34.4625279,69.13155572
"2","Kabul",2020-05-04,779,16,127,34,24,1,21,34.4625279,69.13155572
"3","Kabul",2020-05-03,755,15,106,34,63,0,0,34.4625279,69.13155572
"4","Kabul",2020-05-02,692,15,106,34,75,0,0,34.4625279,69.13155572
"5","Kabul",2020-05-01,617,15,106,34,44,0,31,34.4625279,69.13155572
"6","Kabul",2020-04-30,573,15,75,34,10,1,4,34.4625279,69.13155572
"7","Kabul",2020-04-29,563,14,71,34,69,0,11,34.4625279,69.13155572
"8","Kabul",2020-04-28,494,14,60,34,15,0,0,34.4625279,69.13155572
"9","Kabul",2020-04-27,479,14,60,34,0,0,15,34.4625279,69.13155572
"10","Kabul",2020-04-26,480,14,45,34,6,0,0,34.4625279,69.13155572
"11","Kabul",2020-04-25,474,14,45,34,16,0,0,34.4625279,69.13155572
"12","Kabul",2020-04-24,458,14,45,34,39,0,0,34.4625279,69.13155572
"13","Kabul",2020-04-23,419,14,45,34,6,0,0,34.4625279,69.13155572
"14","Kabul",2020-04-22,413,14,45,34,28,2,7,34.4625279,69.13155572
"15","Kabul",2020-04-21,385,12,38,34,52,0,12,34.4625279,69.13155572
"16","Kabul",2020-04-20,333,12,26,34,18,1,0,34.4625279,69.13155572
"17","Kabul",2020-04-19,315,11,26,34,31,0,2,34.4625279,69.13155572
"18","Kabul",2020-04-18,284,11,24,34,12,1,12,34.4625279,69.13155572
"19","Kabul",2020-04-17,272,10,12,34,63,4,1,34.4625279,69.13155572
"20","Kabul",2020-04-16,209,6,11,34,0,0,0,34.4625279,69.13155572
"21","Kabul",2020-04-15,209,6,11,34,31,0,0,34.4625279,69.13155572
"22","Kabul",2020-04-14,178,6,11,34,18,0,4,34.4625279,69.13155572
"23","Kabul",2020-04-13,160,6,7,34,13,1,0,34.4625279,69.13155572
"24","Kabul",2020-04-12,147,5,7,34,36,2,5,34.4625279,69.13155572
"25","Kabul",2020-04-11,111,3,2,34,0,0,0,34.4625279,69.13155572
"26","Kabul",2020-04-10,111,3,2,34,16,0,0,34.4625279,69.13155572
"27","Kabul",2020-04-09,95,3,2,34,10,0,0,34.4625279,69.13155572
"28","Kabul",2020-04-08,85,3,2,34,12,0,0,34.4625279,69.13155572
"29","Kabul",2020-04-07,73,3,2,34,12,1,0,34.4625279,69.13155572
"30","Kabul",2020-04-06,61,2,2,34,10,1,2,34.4625279,69.13155572
"31","Kabul",2020-04-05,51,1,0,34,10,0,0,34.4625279,69.13155572
"32","Kabul",2020-04-04,41,1,0,34,11,1,0,34.4625279,69.13155572
"33","Kabul",2020-04-03,30,0,0,34,14,0,0,34.4625279,69.13155572
"34","Kabul",2020-04-02,16,0,0,34,0,0,0,34.4625279,69.13155572
"35","Kabul",2020-04-01,16,0,0,34,6,0,0,34.4625279,69.13155572
"36","Kabul",2020-03-31,10,0,0,34,0,0,0,34.4625279,69.13155572
"37","Kabul",2020-03-30,10,0,0,34,1,0,0,34.4625279,69.13155572
"38","Kabul",2020-03-29,9,0,0,34,2,0,0,34.4625279,69.13155572
"39","Kabul",2020-03-28,7,0,0,34,0,0,0,34.4625279,69.13155572
"40","Kabul",2020-03-27,7,0,0,34,0,0,0,34.4625279,69.13155572
"41","Kabul",2020-03-26,7,0,0,34,0,0,0,34.4625279,69.13155572
"42","Kabul",2020-03-25,7,0,0,34,5,0,0,34.4625279,69.13155572
"43","Kabul",2020-03-24,2,0,0,34,0,0,0,34.4625279,69.13155572
"44","Kabul",2020-03-23,2,0,0,34,0,0,0,34.4625279,69.13155572
"45","Kabul",2020-03-22,2,0,0,34,2,0,0,34.4625279,69.13155572
"46","Kabul",2020-03-21,0,0,0,34,0,0,0,34.4625279,69.13155572
"47","Kabul",2020-03-20,0,0,0,34,0,0,0,34.4625279,69.13155572
"48","Kabul",2020-03-19,0,0,0,34,0,0,0,34.4625279,69.13155572
"49","Kabul",2020-03-18,0,0,0,34,0,0,0,34.4625279,69.13155572
"50","Kabul",2020-03-17,0,0,0,34,0,0,0,34.4625279,69.13155572
"51","Kabul",2020-03-16,0,0,0,34,0,0,0,34.4625279,69.13155572
"52","Kabul",2020-03-15,0,0,0,34,0,0,0,34.4625279,69.13155572
"53","Kabul",2020-03-14,0,0,0,34,0,0,0,34.4625279,69.13155572
"54","Kabul",2020-03-13,0,0,0,34,0,0,0,34.4625279,69.13155572
"55","Kabul",2020-03-12,0,0,0,34,0,0,0,34.4625279,69.13155572
"56","Kabul",2020-03-11,0,0,0,34,0,0,0,34.4625279,69.13155572
"57","Kabul",2020-03-10,0,0,0,34,0,0,0,34.4625279,69.13155572
"58","Kabul",2020-03-09,0,0,0,34,0,0,0,34.4625279,69.13155572
"59","Kabul",2020-03-08,0,0,0,34,0,0,0,34.4625279,69.13155572
"60","Kabul",2020-03-07,0,0,0,34,0,0,0,34.4625279,69.13155572
"61","Kabul",2020-03-06,0,0,0,34,0,0,0,34.4625279,69.13155572
"62","Kabul",2020-03-05,0,0,0,34,0,0,0,34.4625279,69.13155572
"63","Kabul",2020-03-04,0,0,0,34,0,0,0,34.4625279,69.13155572
"64","Kabul",2020-03-03,0,0,0,34,0,0,0,34.4625279,69.13155572
"65","Kabul",2020-03-02,0,0,0,34,0,0,0,34.4625279,69.13155572
"66","Kabul",2020-03-01,0,0,0,34,0,0,0,34.4625279,69.13155572
"67","Kabul",2020-02-29,0,0,0,34,0,0,0,34.4625279,69.13155572
"68","Kabul",2020-02-28,0,0,0,34,0,0,0,34.4625279,69.13155572
"69","Kabul",2020-02-27,0,0,0,34,0,0,0,34.4625279,69.13155572
"70","Kabul",2020-02-26,0,0,0,34,0,0,0,34.4625279,69.13155572
"71","Kabul",2020-02-25,0,0,0,34,NA,NA,NA,34.4625279,69.13155572
"72","Herat",2020-05-05,630,14,155,33,59,0,9,34.27520779,62.38628344
"73","Herat",2020-05-04,571,14,146,33,30,1,7,34.27520779,62.38628344
"74","Herat",2020-05-03,541,13,139,33,19,0,6,34.27520779,62.38628344
"75","Herat",2020-05-02,522,13,133,33,23,1,10,34.27520779,62.38628344
"76","Herat",2020-05-01,499,12,123,33,24,0,13,34.27520779,62.38628344
"77","Herat",2020-04-30,475,12,110,33,34,0,0,34.27520779,62.38628344
