"","province","date","confirmed","deaths","recovered","ID","confrate","dthrate","rcvrdrate","Lat","Long"
"1","Kabul",2020-05-07,925,17,139,34,34,0,0,34.4625279,69.13155572
"2","Kabul",2020-05-06,891,17,139,34,67,1,8,34.4625279,69.13155572
"3","Kabul",2020-05-05,824,16,131,34,45,0,4,34.4625279,69.13155572
"4","Kabul",2020-05-04,779,16,127,34,24,1,21,34.4625279,69.13155572
"5","Kabul",2020-05-03,755,15,106,34,63,0,0,34.4625279,69.13155572
"6","Kabul",2020-05-02,692,15,106,34,75,0,0,34.4625279,69.13155572
"7","Kabul",2020-05-01,617,15,106,34,44,0,31,34.4625279,69.13155572
"8","Kabul",2020-04-30,573,15,75,34,10,1,4,34.4625279,69.13155572
"9","Kabul",2020-04-29,563,14,71,34,69,0,11,34.4625279,69.13155572
"10","Kabul",2020-04-28,494,14,60,34,15,0,0,34.4625279,69.13155572
"11","Kabul",2020-04-27,479,14,60,34,0,0,15,34.4625279,69.13155572
"12","Kabul",2020-04-26,480,14,45,34,6,0,0,34.4625279,69.13155572
"13","Kabul",2020-04-25,474,14,45,34,16,0,0,34.4625279,69.13155572
"14","Kabul",2020-04-24,458,14,45,34,39,0,0,34.4625279,69.13155572
"15","Kabul",2020-04-23,419,14,45,34,6,0,0,34.4625279,69.13155572
"16","Kabul",2020-04-22,413,14,45,34,28,2,7,34.4625279,69.13155572
"17","Kabul",2020-04-21,385,12,38,34,52,0,12,34.4625279,69.13155572
"18","Kabul",2020-04-20,333,12,26,34,18,1,0,34.4625279,69.13155572
"19","Kabul",2020-04-19,315,11,26,34,31,0,2,34.4625279,69.13155572
"20","Kabul",2020-04-18,284,11,24,34,12,1,12,34.4625279,69.13155572
"21","Kabul",2020-04-17,272,10,12,34,63,4,1,34.4625279,69.13155572
"22","Kabul",2020-04-16,209,6,11,34,0,0,0,34.4625279,69.13155572
"23","Kabul",2020-04-15,209,6,11,34,31,0,0,34.4625279,69.13155572
"24","Kabul",2020-04-14,178,6,11,34,18,0,4,34.4625279,69.13155572
"25","Kabul",2020-04-13,160,6,7,34,13,1,0,34.4625279,69.13155572
"26","Kabul",2020-04-12,147,5,7,34,36,2,5,34.4625279,69.13155572
"27","Kabul",2020-04-11,111,3,2,34,0,0,0,34.4625279,69.13155572
"28","Kabul",2020-04-10,111,3,2,34,16,0,0,34.4625279,69.13155572
"29","Kabul",2020-04-09,95,3,2,34,10,0,0,34.4625279,69.13155572
"30","Kabul",2020-04-08,85,3,2,34,12,0,0,34.4625279,69.13155572
"31","Kabul",2020-04-07,73,3,2,34,12,1,0,34.4625279,69.13155572
"32","Kabul",2020-04-06,61,2,2,34,10,1,2,34.4625279,69.13155572
